,Unnamed: 0,date_implement,policy,metric_change,state
326,7,2020-06-26,C3_Cancel public events,-1.0,Illinois
327,8,2020-03-13,C4_Restrictions on gatherings,1.0,Illinois
328,9,2020-03-18,C4_Restrictions on gatherings,2.0,Illinois
329,10,2020-06-26,C4_Restrictions on gatherings,-1.0,Illinois
330,11,2020-03-18,C6_Stay at home requirements,1.0,Illinois
331,12,2020-06-26,C6_Stay at home requirements,-1.0,Illinois
332,13,2020-03-16,C7_Restrictions on internal movement,1.0,Illinois
333,14,2020-06-26,C7_Restrictions on internal movement,-1.0,Illinois
334,15,2020-03-02,C8_International travel controls,3.0,Illinois
335,16,2020-01-24,H1_Public information campaigns,1.0,Illinois
336,17,2020-01-21,H2_Testing policy,1.0,Illinois
337,18,2020-01-21,H3_Contact tracing,1.0,Illinois
338,19,2020-04-04,H6_Facial Coverings,1.0,Illinois
339,20,2020-10-01,H6_Facial Coverings,2.0,Illinois
340,21,2020-12-01,H6_Facial Coverings,-1.0,Illinois
341,22,2020-12-15,H7_Vaccination policy,1.0,Illinois
342,0,2020-03-13,C1_School closing,2.0,Indiana
343,1,2020-03-19,C1_School closing,1.0,Indiana
344,2,2020-08-24,C1_School closing,-1.0,Indiana
345,3,2020-03-12,C2_Workplace closing,1.0,Indiana
346,4,2020-05-18,C2_Workplace closing,-1.0,Indiana
347,5,2020-03-15,C3_Cancel public events,1.0,Indiana
348,6,2020-07-23,C3_Cancel public events,-1.0,Indiana
349,7,2020-03-12,C4_Restrictions on gatherings,2.0,Indiana
350,8,2020-03-16,C4_Restrictions on gatherings,1.0,Indiana
351,9,2020-05-18,C4_Restrictions on gatherings,-1.0,Indiana
352,10,2020-09-26,C4_Restrictions on gatherings,-2.0,Indiana
353,11,2020-11-15,C4_Restrictions on gatherings,3.0,Indiana
354,12,2020-03-29,C5_Close public transport,1.0,Indiana
355,13,2020-06-01,C5_Close public transport,-1.0,Indiana
356,14,2020-03-17,C6_Stay at home requirements,1.0,Indiana
357,15,2020-04-12,C6_Stay at home requirements,-1.0,Indiana
358,16,2020-03-16,C7_Restrictions on internal movement,1.0,Indiana
359,17,2020-03-02,C8_International travel controls,3.0,Indiana
360,18,2020-02-05,H1_Public information campaigns,1.0,Indiana
361,19,2020-01-21,H2_Testing policy,1.0,Indiana
362,20,2020-11-05,H2_Testing policy,-1.0,Indiana
363,21,2020-01-21,H3_Contact tracing,1.0,Indiana
364,22,2020-04-04,H6_Facial Coverings,1.0,Indiana
365,23,2020-07-27,H6_Facial Coverings,2.0,Indiana
366,24,2020-11-15,H6_Facial Coverings,-1.0,Indiana
367,25,2020-12-14,H7_Vaccination policy,2.0,Indiana
368,0,2020-03-13,C1_School closing,1.0,Kansas
369,1,2020-03-17,C1_School closing,2.0,Kansas
370,2,2020-08-24,C1_School closing,-1.0,Kansas
371,3,2020-03-12,C2_Workplace closing,1.0,Kansas
372,4,2020-03-24,C2_Workplace closing,2.0,Kansas
373,5,2020-05-04,C2_Workplace closing,-1.0,Kansas
374,6,2020-03-15,C3_Cancel public events,1.0,Kansas
375,7,2020-06-08,C3_Cancel public events,-1.0,Kansas
376,8,2020-03-16,C4_Restrictions on gatherings,3.0,Kansas
377,9,2020-03-17,C4_Restrictions on gatherings,1.0,Kansas
378,10,2020-05-22,C4_Restrictions on gatherings,-1.0,Kansas
379,11,2020-03-19,C5_Close public transport,1.0,Kansas
380,12,2020-03-30,C6_Stay at home requirements,2.0,Kansas
381,13,2020-05-04,C6_Stay at home requirements,-1.0,Kansas
382,14,2020-03-16,C7_Restrictions on internal movement,1.0,Kansas
383,15,2020-03-02,C8_International travel controls,3.0,Kansas
384,16,2020-03-04,H1_Public information campaigns,1.0,Kansas
385,17,2020-01-21,H2_Testing policy,1.0,Kansas
386,18,2020-03-02,H2_Testing policy,-1.0,Kansas
387,19,2020-01-21,H3_Contact tracing,1.0,Kansas
388,20,2020-04-04,H6_Facial Coverings,1.0,Kansas
389,21,2020-07-03,H6_Facial Coverings,2.0,Kansas
390,22,2020-12-14,H7_Vaccination policy,1.0,Kansas
391,0,2020-03-13,C1_School closing,1.0,Kentucky
392,1,2020-03-20,C1_School closing,2.0,Kentucky
393,2,2020-08-17,C1_School closing,-1.0,Kentucky
394,3,2020-03-11,C2_Workplace closing,1.0,Kentucky
395,4,2020-05-11,C2_Workplace closing,-1.0,Kentucky
396,5,2020-03-11,C3_Cancel public events,1.0,Kentucky
397,6,2020-06-29,C3_Cancel public events,-1.0,Kentucky
398,7,2020-03-19,C4_Restrictions on gatherings,4.0,Kentucky
399,8,2020-06-29,C4_Restrictions on gatherings,-1.0,Kentucky
400,9,2020-07-21,C4_Restrictions on gatherings,1.0,Kentucky
401,10,2020-03-20,C5_Close public transport,1.0,Kentucky
402,11,2020-03-26,C6_Stay at home requirements,2.0,Kentucky
403,12,2020-05-22,C6_Stay at home requirements,-1.0,Kentucky
404,13,2020-03-11,C7_Restrictions on internal movement,1.0,Kentucky
405,14,2020-05-06,C7_Restrictions on internal movement,-1.0,Kentucky
406,15,2020-03-02,C8_International travel controls,3.0,Kentucky
407,16,2020-01-09,H1_Public information campaigns,1.0,Kentucky
408,17,2020-01-21,H2_Testing policy,1.0,Kentucky
409,18,2020-03-02,H2_Testing policy,-1.0,Kentucky
410,19,2020-01-21,H3_Contact tracing,1.0,Kentucky
411,20,2020-04-04,H6_Facial Coverings,1.0,Kentucky
412,21,2020-07-10,H6_Facial Coverings,2.0,Kentucky
413,22,2020-12-14,H7_Vaccination policy,1.0,Kentucky
414,0,2020-03-13,C1_School closing,1.0,Louisiana
415,1,2020-08-24,C1_School closing,-1.0,Louisiana
416,2,2020-03-12,C2_Workplace closing,1.0,Louisiana
417,3,2020-11-17,C2_Workplace closing,-1.0,Louisiana
418,4,2020-03-10,C3_Cancel public events,2.0,Louisiana
419,5,2020-09-11,C3_Cancel public events,-1.0,Louisiana
420,6,2020-03-13,C4_Restrictions on gatherings,2.0,Louisiana
421,7,2020-05-01,C4_Restrictions on gatherings,-2.0,Louisiana
422,8,2020-07-18,C4_Restrictions on gatherings,1.0,Louisiana
423,9,2020-03-17,C5_Close public transport,1.0,Louisiana
424,10,2020-03-23,C6_Stay at home requirements,2.0,Louisiana
425,11,2020-05-15,C6_Stay at home requirements,-1.0,Louisiana
426,12,2020-03-16,C7_Restrictions on internal movement,1.0,Louisiana
427,13,2020-03-02,C8_International travel controls,3.0,Louisiana
428,14,2020-03-10,H1_Public information campaigns,1.0,Louisiana
429,15,2020-01-21,H2_Testing policy,1.0,Louisiana
430,16,2020-03-02,H2_Testing policy,-1.0,Louisiana
431,17,2020-01-21,H3_Contact tracing,1.0,Louisiana
432,18,2020-12-05,H3_Contact tracing,-1.0,Louisiana
